"id";"grupo";"caixa";"porta_cto";"status";"rn"
2035841;1055;93;5;L;2
2035842;1055;93;6;L;2
2035843;1055;93;7;L;2
156730;1055;93;8;L;2
2035845;1055;94;1;L;2
2035846;1055;94;2;L;2
2035847;1055;94;3;L;2
2035848;1055;94;4;L;2
2035849;1055;94;5;L;2
2035850;1055;94;6;L;2
2035851;1055;94;7;L;2
2035852;1055;94;8;L;2
2035853;1055;95;1;L;2
2035854;1055;95;2;L;2
2035855;1055;95;3;A;2
2035856;1055;95;4;L;2
2035857;1055;95;5;L;2
2035858;1055;95;6;L;2
2035859;1055;95;7;L;2
2035860;1055;95;8;L;2
2035861;1055;96;1;L;2
2035862;1055;96;2;L;2
2035863;1055;96;3;L;2
2035864;1055;96;4;L;2
2035865;1055;96;5;L;2
2035866;1055;96;6;L;2
2035867;1055;96;7;L;2
2035868;1055;96;8;L;2
1668151;1060;1473;1;L;2
1668199;1060;1473;1;L;3
1668247;1060;1473;1;L;4
1668152;1060;1473;2;L;2
1668200;1060;1473;2;L;3
1668248;1060;1473;2;L;4
1668153;1060;1473;3;L;2
1668201;1060;1473;3;L;3
1668249;1060;1473;3;L;4
1668154;1060;1473;4;L;2
1668202;1060;1473;4;L;3
1668250;1060;1473;4;L;4
1668155;1060;1473;5;L;2
1668203;1060;1473;5;L;3
1668251;1060;1473;5;L;4
1668156;1060;1473;6;L;2
1668204;1060;1473;6;L;3
1668252;1060;1473;6;L;4
1668157;1060;1473;7;L;2
1668205;1060;1473;7;L;3
1668253;1060;1473;7;L;4
1668158;1060;1473;8;L;2
1668206;1060;1473;8;L;3
1668254;1060;1473;8;L;4
1668159;1060;1474;1;L;2
1668207;1060;1474;1;L;3
1668255;1060;1474;1;L;4
1668160;1060;1474;2;A;2
1668208;1060;1474;2;L;3
1668256;1060;1474;2;L;4
1668161;1060;1474;3;L;2
1668209;1060;1474;3;L;3
1668257;1060;1474;3;L;4
1668114;1060;1474;4;L;2
1668162;1060;1474;4;L;3
1668210;1060;1474;4;L;4
1668163;1060;1474;5;L;2
